date,Bottom quintile,Top quintile,Total,HICP,Country,Bottom quartile,Top quartile
Sep-21,5.2099792261496,4.268798099152407,4.652000995022844,4.684186260949752,LV,,
Oct-21,6.164758108825074,5.577786682580211,5.840336909132235,5.963810930576074,LV,,
Nov-21,7.608639894760548,6.92909816070741,7.223774958755865,7.427989256274881,LV,,
Dec-21,8.44372135008769,7.350199727881498,7.77189275120562,7.883279295970347,LV,,
Jan-22,7.459735351791899,7.277655325053097,7.353229124139651,7.456626061277216,LV,,
Feb-22,8.910597358708515,8.306701075382671,8.593919303342803,8.784342552604985,LV,,
Mar-22,11.44965838876551,10.9933675474726,11.29314552438044,11.47182199525807,LV,,
Apr-22,13.01392917740229,12.46118099984756,12.77936831040626,13.05015815634885,LV,,
May-22,19.14796799704878,15.75496231779164,17.13753898690759,16.77001887301159,LV,,
Jun-22,22.25057081161781,17.77895611787461,19.63617399214244,19.247311827957,LV,,
Jul-22,26.05843750378579,19.23968504940314,22.00005695007258,21.34059264548373,LV,,
Aug-22,26.80434415306305,18.95904816596144,22.12285989667893,21.38538146896673,LV,,
Sep-22,27.19719130909528,19.49074498089846,22.59874111937671,22.04703602572007,LV,,
Oct-22,26.41396103149921,18.92061433443462,21.99361286324164,21.72852413312423,LV,,
Nov-22,26.06645423035386,18.97691801331742,21.91603323619448,21.73463229588757,LV,,
Dec-22,25.35176193989327,17.76569597072135,20.93908304283349,20.70238708569465,LV,,
Jan-23,27.06853624284856,18.31807178458564,21.92386753778087,21.35005152868432,LV,,
Feb-23,25.4758668258108,17.29457877011913,20.59978827527134,20.103049244024,LV,,
Mar-23,22.7332190561515,14.61018434751927,17.86413006656842,17.19568062827226,LV,,
Apr-23,20.04193257874947,12.69210979453792,15.64026726011888,14.98121352626109,LV,,
May-23,15.58778293821933,10.42860114150884,12.43520777787206,12.30662664511659,LV,,
Jun-23,10.92315694640306,7.166445466902507,8.651984274206914,8.130447850916745,LV,,
Jul-23,8.33370261324405,6.218007920310669,7.03823137166158,6.649503493931608,LV,,
Aug-23,6.061708870031492,5.548368305184749,5.745781428516965,5.633286938685811,LV,,
Sep-23,3.352160417856223,4.305504485152532,3.967866020915425,3.550808314087761,LV,,
Oct-23,2.25952982280314,3.106266238308138,2.768801896021357,2.297452046951043,LV,,
Nov-23,1.160261658995856,1.991077913486347,1.690592487547774,1.140226628895191,LV,,
Dec-23,0.2153545984482966,1.711155711815229,1.131185079791343,0.8536672120651678,LV,,
Jan-19,2.411911335401975,1.926332199735897,2.240190987739439,1.987737341772133,NL,,
Feb-19,2.814350778326701,2.489269052298209,2.734957654331045,2.553024351924571,NL,,
Mar-19,3.007502881689634,2.781677410374553,2.983086757483928,2.861062120321378,NL,,
Apr-19,3.036171420426196,2.928825411400388,3.081088912272659,3.029420332071076,NL,,
May-19,2.777102844256787,2.497985731042398,2.761671644516635,2.33052896238275,NL,,
Jun-19,2.926158684003804,2.551339745046928,2.849063345700718,2.741857073407883,NL,,
Jul-19,2.79054067310222,2.546577630715666,2.772824766198162,2.606771835321275,NL,,
Aug-19,2.988352288263337,2.8526595750237,3.016364028633628,3.103083869728107,NL,,
