Country,date,coicop,value,diff
AT,Mar-20,Clothing and footwear,-0.0014456608487223,0.1786217717639829
AT,Mar-20,Food and non-alcoholic beverages,0.0640170416054963,0.1786217717639829
AT,Mar-20,Housing (rentals and repairs),0.3230545298720424,0.1786217717639829
AT,Mar-20,Other,-0.2655138842621342,0.1786217717639829
AT,Mar-20,Transport,-0.0111358810720582,0.1786217717639829
AT,Mar-20,"Water, electricity, gas and other fuels",0.0705397961949115,0.1786217717639829
AT,Apr-20,"Alcoholic beverages, tobacco and narcotics",-0.0034444102360302,0.2919853532737
AT,Apr-20,Clothing and footwear,-0.0079664910848024,0.2919853532737
AT,Apr-20,Food and non-alcoholic beverages,0.095256632872361,0.2919853532737
AT,Apr-20,Housing (rentals and repairs),0.3409426033331007,0.2919853532737
AT,Apr-20,Other,-0.2538214043441525,0.2919853532737
AT,Apr-20,Transport,0.0612707642616633,0.2919853532737
AT,Apr-20,"Water, electricity, gas and other fuels",0.0597476584715601,0.2919853532737
AT,May-20,"Alcoholic beverages, tobacco and narcotics",-0.0013789413883256,0.3855952707061279
AT,May-20,Clothing and footwear,0.0427202371744879,0.3855952707061279
AT,May-20,Food and non-alcoholic beverages,0.0469705851232802,0.3855952707061279
AT,May-20,Housing (rentals and repairs),0.3585429629653183,0.3855952707061279
AT,May-20,Other,-0.2128404243424518,0.3855952707061279
AT,May-20,Transport,0.1288954136245759,0.3855952707061279
AT,May-20,"Water, electricity, gas and other fuels",0.022685437549243,0.3855952707061279
AT,Jun-20,"Alcoholic beverages, tobacco and narcotics",-0.0014896167499987,0.3981979851063777
AT,Jun-20,Clothing and footwear,0.033425073045517,0.3981979851063777
AT,Jun-20,Food and non-alcoholic beverages,0.0974675496248595,0.3981979851063777
AT,Jun-20,Housing (rentals and repairs),0.4131512954262919,0.3981979851063777
AT,Jun-20,Other,-0.2626082889552336,0.3981979851063777
AT,Jun-20,Transport,0.0900511354893531,0.3981979851063777
AT,Jun-20,"Water, electricity, gas and other fuels",0.028200837225589,0.3981979851063777
AT,Jul-20,"Alcoholic beverages, tobacco and narcotics",0.0004501000232629,0.2214812016195644
AT,Jul-20,Clothing and footwear,-0.0595093466757919,0.2214812016195644
AT,Jul-20,Food and non-alcoholic beverages,0.0900740201138908,0.2214812016195644
AT,Jul-20,Housing (rentals and repairs),0.4491849261062735,0.2214812016195644
AT,Jul-20,Other,-0.3249028001612272,0.2214812016195644
AT,Jul-20,Transport,0.0483819764432619,0.2214812016195644
AT,Jul-20,"Water, electricity, gas and other fuels",0.0178023257698937,0.2214812016195644
AT,Aug-20,"Alcoholic beverages, tobacco and narcotics",-0.0011121271228435,0.320247026133641
AT,Aug-20,Clothing and footwear,0.0337811036615763,0.320247026133641
AT,Aug-20,Food and non-alcoholic beverages,0.0822627689170948,0.320247026133641
